,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16062647,0.0,0.0,0.0,0.0,0.0,0.0
16062646,0.0,0.0,0.0,0.0,0.0,0.0
16062645,0.0,0.0,0.0,0.0,0.0,0.0
16062644,0.0,0.0,0.0,0.0,0.0,0.0
16062643,0.0,0.0,0.0,0.0,0.0,0.0
16062642,0.0,0.0,0.0,0.0,0.0,0.0
16062641,0.0,0.0,0.0,0.0,0.0,0.0
16062640,0.0,0.0,0.0,0.0,0.0,0.0
16062639,0.0,0.0,0.0,0.0,0.0,0.0
16062638,0.0,0.0,0.0,0.0,0.0,0.0
16062637,0.0,0.0,0.0,0.0,0.0,0.0
16062636,0.0,0.0,0.0,0.0,0.0,0.0
16062635,0.0,0.0,0.0,0.0,0.0,0.0
16062634,0.0,0.0,0.0,0.0,0.0,0.0
16062633,0.0,0.0,0.0,0.0,0.0,0.0
16062632,0.0,0.0,0.0,0.0,0.0,0.0
16062631,0.0,0.0,0.0,0.0,0.0,0.0
16062630,0.0,0.0,0.0,0.0,0.0,0.0
16062629,0.0,0.0,0.0,0.0,0.0,0.0
16062628,0.0,0.0,0.0,0.0,0.0,0.0
16062627,0.0,0.0,0.0,0.0,0.0,0.0
16062626,0.0,0.0,0.0,0.0,0.0,0.0
16062625,0.0,0.0,0.0,0.0,0.0,0.0
16062624,0.0,0.0,0.0,0.0,0.0,0.0
16062623,0.0,0.0,0.0,0.0,0.0,0.0
