,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
77001,77001,0x56eebf386608693d7a40cbf222ce1dd2bb83eba0f611339949588d833e382060,4697454,28,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdd0670c0bdeddca54263e260405864eb6c7778b2,9.4826e+16,207128,10994806421,0x,2487573,21000,,,1,2022-11-27 16:41:23+00:00,16062583,0xe927e357031e5e697e31012fb77cf6d409bdcafb7322b8bf79547a3dda95de12,102000000000.0,2000000000.0,2,10994806421
77905,77905,0x265994d739a0ca04b9b5e540a12795e94f5cd0af8c9e2a4a94e83e6f638ca749,1926354,85,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0x46fa8941ef0fcc9fb4ae512e73c3d35dd1cad90b,8.7962e+16,207128,11221185740,0x,4880302,21000,,,1,2022-11-27 16:40:11+00:00,16062577,0xa1e77901589005ee180aedd26c8db37aa284e29f879195deef5ba63840251af6,102000000000.0,2000000000.0,2,11221185740
78295,78295,0x70fbd196c2e4068fce6cc6676f58bca108053abf4e91f55ebf687c938eca6531,4938360,45,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xd56e48e51c8fa684a9b89d441bbe5e7129673363,9.31644e+16,207128,11895454986,0x,2486948,21000,,,1,2022-11-27 16:39:35+00:00,16062574,0x8f078c89229f69de0f2860c9e9f8c4b7766485e1469c7f032654cf68de209eec,102000000000.0,2000000000.0,2,11895454986
78485,78485,0x3938265c3ee14e2c1cc37e7fe90c8d08c50cb6c1f5e010b1f48bab0218ae33b0,4681,2,0x4e7b110335511f662fdbb01bf958a7844118c0d4,0x1acd4ce843f2955a87047a4201f473485a8c51fb,1e+16,210000,32000000000,0x,63000,21000,,,1,2022-11-27 16:39:11+00:00,16062572,0x359d1b7ded62ceb6f5e23a59ce11bc1ed8991e06b1c10402146457fcdc217700,,,0,32000000000
78679,78679,0x4f7352777a87778f90cdab14a0a91c25dcccf2d3b0fd36c5659837754e0abc70,3527502,27,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x6e8906f6fc2aa42f59c9b1bf9e74f6180ff4725c,4.9232e+16,207128,12624582343,0x,3315275,21000,,,1,2022-11-27 16:38:59+00:00,16062571,0xae4699d35e0f1c5573bad0ea0886d02ad2b50f6824b1467f9ea0d1788dd0cd10,102000000000.0,2000000000.0,2,12624582343
78715,78715,0x6370f1591ef4a1a913783c6837c2b2c0772fcbe18a02fd11aea416aad9a15d56,4697438,111,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x5a98d8d969bdde604f01ac0545f6ba9fbc9848b3,9.19961e+16,207128,11565769696,0x,8471619,21000,,,1,2022-11-27 16:38:47+00:00,16062570,0xf85fb1fef1eeb090f0d6af1a22f9c75f94e774a90ed77404529adfcc7bc1770f,102000000000.0,2000000000.0,2,11565769696
79082,79082,0x5e2d2c2719de0ed3b3ccd723766691900c62db5594a61b7d312767a6ef779909,249235,31,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x23886603a22b15cb9f393c5d631470d4279cc6b7,3e+16,90000,13128948308,0x,2344424,21000,,,1,2022-11-27 16:38:23+00:00,16062568,0x75d3498c27c3ffc0bfed3066a53b475e45fe971696c40ca91a08d21e3fdfa60e,200000000000.0,2000000000.0,2,13128948308
79546,79546,0xb6f88b9b74bdd12e42fb9f78a68ee86b56a34546dfc5820cae7dd48dab376791,4697434,60,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x28d54ff611c8f613f1ea51ec830d106e55de9965,8.84005e+16,207128,13767819198,0x,4143525,21000,,,1,2022-11-27 16:37:47+00:00,16062565,0x5e5faf040c4bd0f8786a961a2a456004fac9dadbfa2754ef365a077e6b461d50,102000000000.0,2000000000.0,2,13767819198
80373,80373,0x9a21be15b12196476565c3515906203f512f411718a7a8f33228652e089696ff,4697429,50,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x0ee0b9dab85d57153bf9d7566e11daa43860eeef,8.881937e+16,207128,12410934758,0x,3393739,21000,,,1,2022-11-27 16:36:35+00:00,16062560,0xfc0266bd89853f6c55013c57e6ce840455834079cc9fa022cb9b5ee45307040c,102000000000.0,2000000000.0,2,12410934758
81387,81387,0x619d913d11036528098bf7591fc52341cc7a431b27d4462346991740146cb8c5,3854812,72,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xd458d6cf1b938de1fcb153024ea43a16a282c1b6,9.0655e+16,207128,11961008939,0x,6248975,21000,,,1,2022-11-27 16:35:23+00:00,16062554,0xd0e4fd38c300ef2c3c45c74131f15137838bb04c9e38d46afe01bece3abe14dd,102000000000.0,2000000000.0,2,11961008939
